nome,cpf,Uev
JAMES,352104,Sao Paulo
MARY,352108,Sao Paulo
CHARLES,352112,Sao Paulo
CHRISTOPHER,352116,Sao Paulo
PAUL,352120,Sao Paulo
JENNIFER,352124,Sao Paulo
SUSAN,352128,Sao Paulo
BRIAN,352132,Sao Paulo
LISA,352136,Sao Paulo
BETTY,352140,Sao Paulo
GARY,352144,Sao Paulo
LARRY,352148,Sao Paulo
CAROL,352152,Sao Paulo
STEPHEN,352156,Sao Paulo
LAURA,352160,Sao Paulo
JESSICA,352164,Sao Paulo
ANGELA,352168,Sao Paulo
JERRY,352172,Sao Paulo
VIRGINIA,352176,Sao Paulo
PAMELA,352180,Sao Paulo
WALTER,352184,Sao Paulo
JOHN,352105,Minas Gerais
WILLIAM,352109,Minas Gerais
JOSEPH,352113,Minas Gerais
LINDA,352117,Minas Gerais
MARK,352121,Minas Gerais
GEORGE,352125,Minas Gerais
STEVEN,352129,Minas Gerais
RONALD,352133,Minas Gerais
KEVIN,352137,Minas Gerais
HELEN,352141,Minas Gerais
TIMOTHY,352145,Minas Gerais
JEFFREY,352149,Minas Gerais
RUTH,352153,Minas Gerais
ANDREW,352157,Minas Gerais
SARAH,352161,Minas Gerais
RAYMOND,352165,Minas Gerais
MELISSA,352169,Minas Gerais
GREGORY,352173,Minas Gerais
REBECCA,352177,Minas Gerais
MARTHA,352181,Minas Gerais
STEPHANIE,352185,Minas Gerais
DARTH VADER,666,Rio de Janeiro
ROBERT,352106,Rio de Janeiro
DAVID,352110,Rio de Janeiro
THOMAS,352114,Rio de Janeiro
BARBARA,352118,Rio de Janeiro
ELIZABETH,352122,Rio de Janeiro
MARIA,352126,Rio de Janeiro
EDWARD,352130,Rio de Janeiro
DOROTHY,352134,Rio de Janeiro
NANCY,352138,Rio de Janeiro
JASON,352142,Rio de Janeiro
SANDRA,352146,Rio de Janeiro
FRANK,352150,Rio de Janeiro
SCOTT,352154,Rio de Janeiro
SHARON,352158,Rio de Janeiro
KIMBERLY,352162,Rio de Janeiro
SHIRLEY,352166,Rio de Janeiro
BRENDA,352170,Rio de Janeiro
ANNA,352174,Rio de Janeiro
KATHLEEN,352178,Rio de Janeiro
DEBRA,352182,Rio de Janeiro
WILLIE,352186,Rio de Janeiro
MICHAEL,352107,Rio Grande do Sul
RICHARD,352111,Rio Grande do Sul
PATRICIA,352115,Rio Grande do Sul
DANIEL,352119,Rio Grande do Sul
DONALD,352123,Rio Grande do Sul
KENNETH,352127,Rio Grande do Sul
MARGARET,352131,Rio Grande do Sul
ANTHONY,352135,Rio Grande do Sul
KAREN,352139,Rio Grande do Sul
MATTHEW,352143,Rio Grande do Sul
JOSE,352147,Rio Grande do Sul
DONNA,352151,Rio Grande do Sul
ERIC,352155,Rio Grande do Sul
MICHELLE,352159,Rio Grande do Sul
DEBORAH,352163,Rio Grande do Sul
CYNTHIA,352167,Rio Grande do Sul
AMY,352171,Rio Grande do Sul
JOSHUA,352175,Rio Grande do Sul
DENNIS,352179,Rio Grande do Sul
AMANDA,352183,Rio Grande do Sul
PATRICK,352187,Rio Grande do Sul
